actual,predicted,residual,abs_error,fitness_goal,gender,activity_level
3975.1,4114.281122156088,-139.1811221560879,139.1811221560879,muscle_gain,Male,very_active
1977.6,2001.5609978174596,-23.960997817459656,23.960997817459656,fat_loss,Male,light
1935.9,1900.392179431216,35.507820568784155,35.507820568784155,fat_loss,Female,moderate
1951.2,1860.2964601190502,90.9035398809499,90.9035398809499,fat_loss,Male,active
1476.9,1577.7417896164036,-100.8417896164035,100.8417896164035,muscle_gain,Female,light
2598.0,2503.9062136243388,94.09378637566124,94.09378637566124,maintenance,Female,active
3668.0,3792.029889484134,-124.02988948413395,124.02988948413395,maintenance,Male,very_active
3001.5,2914.5112025793687,86.98879742063127,86.98879742063127,muscle_gain,Female,very_active
3678.8,3554.7144542989467,124.08554570105343,124.08554570105343,maintenance,Male,very_active
2519.7,2514.0604746031754,5.639525396824411,5.639525396824411,fat_loss,Male,light
1911.5,1975.054688822752,-63.55468882275204,63.55468882275204,maintenance,Female,moderate
2381.9,2028.790609451661,353.109390548339,353.109390548339,muscle_gain,Female,light
3245.9,3054.455818187832,191.44418181216815,191.44418181216815,muscle_gain,Female,very_active
2340.8,2368.296095436509,-27.496095436508767,27.496095436508767,fat_loss,Male,light
2897.9,2805.9432065115425,91.9567934884576,91.9567934884576,maintenance,Female,very_active
1661.0,1638.9510129629612,22.04898703703884,22.04898703703884,fat_loss,Female,moderate
1796.1,1869.6362034391557,-73.53620343915577,73.53620343915577,muscle_gain,Male,moderate
2515.3,2467.610646296297,47.68935370370309,47.68935370370309,fat_loss,Male,moderate
3135.9,3213.6271754509376,-77.72717545093747,77.72717545093747,muscle_gain,Female,very_active
3614.2,3182.8849326719546,431.3150673280452,431.3150673280452,fat_loss,Male,active
1913.9,1910.7880958994692,3.1119041005308645,3.1119041005308645,muscle_gain,Female,moderate
1564.2,1584.4789388888898,-20.278938888889797,20.278938888889797,fat_loss,Male,sedentary
2659.9,2607.212924007937,52.687075992063,52.687075992063,muscle_gain,Female,moderate
3563.6,3640.434146494711,-76.83414649471115,76.83414649471115,maintenance,Male,very_active
2826.3,2610.0501173340585,216.24988266594164,216.24988266594164,muscle_gain,Male,moderate
2837.0,2788.4505046717136,48.54949532828641,48.54949532828641,muscle_gain,Female,active
1828.3,1752.0598869047622,76.2401130952378,76.2401130952378,muscle_gain,Female,moderate
1571.0,1583.1141918650787,-12.114191865078737,12.114191865078737,muscle_gain,Female,light
2919.4,2669.8817231481485,249.51827685185162,249.51827685185162,maintenance,Male,light
1738.2,1862.4194478174602,-124.21944781746015,124.21944781746015,maintenance,Male,moderate
2225.5,2115.4964963624348,110.00350363756525,110.00350363756525,fat_loss,Male,moderate
2211.2,2246.4547876984143,-35.254787698414475,35.254787698414475,maintenance,Male,moderate
4383.4,4315.602660251324,67.79733974867577,67.79733974867577,muscle_gain,Male,very_active
2611.4,2612.0040751322786,-0.6040751322784672,0.6040751322784672,muscle_gain,Male,moderate
2054.4,2228.869303902115,-174.46930390211492,174.46930390211492,fat_loss,Male,light
2322.3,2383.0456893698906,-60.74568936989044,60.74568936989044,fat_loss,Male,light
3530.5,3402.649010912708,127.85098908729196,127.85098908729196,maintenance,Male,very_active
2145.3,2768.746267887207,-623.4462678872069,623.4462678872069,fat_loss,Female,active
2698.1,2674.324904761904,23.775095238096128,23.775095238096128,fat_loss,Male,sedentary
2055.7,2125.8736792328054,-70.17367923280563,70.17367923280563,fat_loss,Male,light
2015.2,2754.6395363095253,-739.4395363095252,739.4395363095252,fat_loss,Female,very_active
1232.9,1466.4775185185201,-233.57751851852004,233.57751851852004,maintenance,Female,sedentary
1850.8,1971.5209188492056,-120.72091884920565,120.72091884920565,maintenance,Male,light
2362.4,2132.7492346921586,229.65076530784154,229.65076530784154,fat_loss,Male,active
2768.4,2786.2840308742234,-17.8840308742233,17.8840308742233,fat_loss,Male,moderate
3293.8,3188.080745851374,105.71925414862608,105.71925414862608,muscle_gain,Female,very_active
1719.1,1890.8302592592593,-171.73025925925936,171.73025925925936,fat_loss,Female,moderate
4334.8,4146.021334325402,188.77866567459841,188.77866567459841,muscle_gain,Male,very_active
2010.8,2015.4647072751332,-4.664707275133196,4.664707275133196,muscle_gain,Female,moderate
1805.0,1826.5615117724865,-21.561511772486483,21.561511772486483,fat_loss,Female,moderate
2346.1,2067.7475316077457,278.3524683922542,278.3524683922542,muscle_gain,Female,light
1462.8,1587.4062119047617,-124.60621190476172,124.60621190476172,fat_loss,Male,moderate
4250.4,4313.48790462963,-63.08790462963043,63.08790462963043,muscle_gain,Male,very_active
1694.6,1914.8030105158718,-220.20301051587194,220.20301051587194,maintenance,Female,light
1685.5,1724.6684174603195,-39.16841746031946,39.16841746031946,fat_loss,Female,light
1680.5,1663.4615142857135,17.03848571428648,17.03848571428648,fat_loss,Female,sedentary
1579.2,1628.6058378968264,-49.40583789682637,49.40583789682637,muscle_gain,Female,sedentary
1593.8,1619.8532105218865,-26.053210521886513,26.053210521886513,fat_loss,Male,light
2224.9,2079.0743870731126,145.82561292688752,145.82561292688752,fat_loss,Male,moderate
2813.5,2566.404139351852,247.09586064814812,247.09586064814812,muscle_gain,Female,moderate
1789.4,1867.2782394841317,-77.87823948413165,77.87823948413165,maintenance,Female,light
2153.9,2119.916008862433,33.983991137567045,33.983991137567045,muscle_gain,Male,moderate
3838.4,3732.5575964285727,105.84240357142744,105.84240357142744,maintenance,Male,very_active
2013.2,2278.686391203702,-265.48639120370194,265.48639120370194,maintenance,Female,moderate
2144.3,2117.8655401815768,26.43445981842342,26.43445981842342,fat_loss,Male,moderate
2647.5,2444.440290211644,203.05970978835603,203.05970978835603,fat_loss,Male,moderate
1290.3,1475.8234776455042,-185.52347764550427,185.52347764550427,muscle_gain,Female,sedentary
2617.6,2684.214482858349,-66.61448285834922,66.61448285834922,maintenance,Male,moderate
2603.2,2631.389036838622,-28.189036838622087,28.189036838622087,fat_loss,Male,active
2258.6,2469.5921613095225,-210.99216130952254,210.99216130952254,fat_loss,Male,light
1352.8,1437.3773602462372,-84.57736024623728,84.57736024623728,fat_loss,Male,light
2670.4,2693.3631058862434,-22.963105886243284,22.963105886243284,fat_loss,Male,sedentary
2290.6,2096.835831150793,193.76416884920673,193.76416884920673,muscle_gain,Female,moderate
1685.7,1767.3464791245794,-81.6464791245794,81.6464791245794,maintenance,Female,moderate
3773.1,3854.1240778439183,-81.02407784391835,81.02407784391835,muscle_gain,Male,active
2922.5,2750.8948062169325,171.60519378306753,171.60519378306753,muscle_gain,Female,active
2238.6,2277.9962935846575,-39.39629358465754,39.39629358465754,fat_loss,Male,moderate
2128.3,2145.5518412337647,-17.25184123376448,17.25184123376448,fat_loss,Male,moderate
2561.4,2548.5568441979344,12.843155802065667,12.843155802065667,muscle_gain,Female,active
1891.4,1752.025309920637,139.37469007936306,139.37469007936306,fat_loss,Male,moderate
1475.0,1516.9818015151534,-41.98180151515339,41.98180151515339,fat_loss,Male,light
3945.6,4062.89187189153,-117.29187189153026,117.29187189153026,muscle_gain,Male,active
2409.4,2415.668653637565,-6.268653637564967,6.268653637564967,muscle_gain,Female,moderate
2268.8,2291.199287566138,-22.3992875661379,22.3992875661379,maintenance,Female,moderate
1961.8,1970.3850350709497,-8.585035070949743,8.585035070949743,muscle_gain,Female,moderate
1696.3,1720.2393938131327,-23.93939381313271,23.93939381313271,fat_loss,Male,moderate
2456.3,2332.6787876322783,123.62121236772191,123.62121236772191,fat_loss,Male,active
1783.9,1804.2367999338624,-20.336799933862267,20.336799933862267,fat_loss,Female,moderate
1672.5,1697.767583730159,-25.267583730159004,25.267583730159004,fat_loss,Female,light
1227.4,1315.01246798433,-87.6124679843299,87.6124679843299,fat_loss,Male,light
2008.5,2064.903388534151,-56.40338853415096,56.40338853415096,muscle_gain,Female,active
2785.4,2681.7407187830695,103.6592812169306,103.6592812169306,muscle_gain,Male,active
2104.8,2172.4640661375665,-67.66406613756635,67.66406613756635,maintenance,Female,light
2049.6,2071.9307153439113,-22.33071534391138,22.33071534391138,fat_loss,Female,moderate
2830.7,2905.0615541005272,-74.36155410052743,74.36155410052743,fat_loss,Male,active
1988.9,2006.0988648809507,-17.198864880950623,17.198864880950623,muscle_gain,Male,moderate
4587.8,4206.961955952387,380.83804404761304,380.83804404761304,muscle_gain,Male,very_active
1612.8,1591.37149404762,21.428505952379965,21.428505952379965,fat_loss,Male,light
1692.9,1723.0528487433867,-30.152848743386585,30.152848743386585,muscle_gain,Female,sedentary
